Year,Electoral college vote count,State
1888,7,Minnesota
1892,9,Minnesota
1896,9,Minnesota
1900,9,Minnesota
1904,11,Minnesota
1908,11,Minnesota
1912,12,Minnesota
1916,12,Minnesota
1920,12,Minnesota
1924,12,Minnesota
1928,12,Minnesota
1932,11,Minnesota
1936,11,Minnesota
1940,11,Minnesota
1944,11,Minnesota
1948,11,Minnesota
1952,11,Minnesota
1956,11,Minnesota
1960,11,Minnesota
1964,10,Minnesota
1968,10,Minnesota
1972,10,Minnesota
1976,10,Minnesota
1980,10,Minnesota
1984,10,Minnesota
1988,10,Minnesota
1992,10,Minnesota
1996,10,Minnesota
2000,10,Minnesota
2004,10,Minnesota
2008,10,Minnesota
2012,10,Minnesota
2016,10,Minnesota
2020,10,Minnesota
1788,0,Mississippi
1792,0,Mississippi
1796,0,Mississippi
1800,0,Mississippi
1804,0,Mississippi
1808,0,Mississippi
1812,0,Mississippi
1816,0,Mississippi
1820,3,Mississippi
1824,3,Mississippi
1828,3,Mississippi
1832,4,Mississippi
1836,4,Mississippi
1840,4,Mississippi
1844,6,Mississippi
1848,6,Mississippi
1852,7,Mississippi
1856,7,Mississippi
1860,7,Mississippi
1864,0,Mississippi
1868,0,Mississippi
1872,8,Mississippi
1876,8,Mississippi
1880,8,Mississippi
1884,9,Mississippi
1888,9,Mississippi
1892,9,Mississippi
1896,9,Mississippi
1900,9,Mississippi
1904,10,Mississippi
1908,10,Mississippi
1912,10,Mississippi
1916,10,Mississippi
1920,10,Mississippi
1924,10,Mississippi
1928,10,Mississippi
1932,9,Mississippi
1936,9,Mississippi
1940,9,Mississippi
1944,9,Mississippi
1948,9,Mississippi
1952,8,Mississippi
1956,8,Mississippi
1960,8,Mississippi
1964,7,Mississippi
1968,7,Mississippi
1972,7,Mississippi
1976,7,Mississippi
1980,7,Mississippi
1984,7,Mississippi
1988,7,Mississippi
1992,7,Mississippi
1996,7,Mississippi
2000,7,Mississippi
2004,6,Mississippi
2008,6,Mississippi
2012,6,Mississippi
2016,6,Mississippi
2020,6,Mississippi
1788,0,Missouri
1792,0,Missouri
1796,0,Missouri
1800,0,Missouri
1804,0,Missouri
1808,0,Missouri
1812,0,Missouri
1816,0,Missouri
1820,3,Missouri
1824,3,Missouri
1828,3,Missouri
1832,4,Missouri
1836,4,Missouri
1840,4,Missouri
1844,7,Missouri
1848,7,Missouri
1852,9,Missouri
1856,9,Missouri
1860,9,Missouri
1864,11,Missouri
1868,11,Missouri
1872,15,Missouri
1876,15,Missouri
1880,15,Missouri
1884,16,Missouri
1888,16,Missouri
1892,17,Missouri
1896,17,Missouri
1900,17,Missouri
1904,18,Missouri
1908,18,Missouri
1912,18,Missouri
1916,18,Missouri
1920,18,Missouri
1924,18,Missouri
1928,18,Missouri
1932,15,Missouri
1936,15,Missouri
1940,15,Missouri
1944,15,Missouri
1948,15,Missouri
1952,13,Missouri
1956,13,Missouri
1960,13,Missouri
1964,12,Missouri
1968,12,Missouri
1972,12,Missouri
1976,12,Missouri
1980,12,Missouri
1984,11,Missouri
1988,11,Missouri
1992,11,Missouri
1996,11,Missouri
2000,11,Missouri
2004,11,Missouri
2008,11,Missouri
2012,10,Missouri
2016,10,Missouri
2020,10,Missouri
1788,0,Montana
1792,0,Montana
1796,0,Montana
1800,0,Montana
1804,0,Montana
1808,0,Montana
1812,0,Montana
1816,0,Montana
1820,0,Montana
1824,0,Montana
1828,0,Montana
1832,0,Montana
1836,0,Montana
1840,0,Montana
1844,0,Montana
1848,0,Montana
1852,0,Montana
1856,0,Montana
1860,0,Montana
1864,0,Montana
1868,0,Montana
1872,0,Montana
1876,0,Montana
1880,0,Montana
1884,0,Montana
1888,0,Montana
1892,3,Montana
1896,3,Montana
1900,3,Montana
1904,3,Montana
1908,3,Montana
1912,4,Montana
1916,4,Montana
1920,4,Montana
1924,4,Montana
1928,4,Montana
1932,4,Montana
1936,4,Montana
1940,4,Montana
1944,4,Montana
1948,4,Montana
1952,4,Montana
1956,4,Montana
1960,4,Montana
1964,4,Montana
1968,4,Montana
1972,4,Montana
1976,4,Montana
1980,4,Montana
1984,4,Montana
1988,4,Montana
1992,3,Montana
1996,3,Montana
2000,3,Montana
2004,3,Montana
2008,3,Montana
2012,3,Montana
2016,3,Montana
2020,3,Montana
1788,0,Nebraska
1792,0,Nebraska
1796,0,Nebraska
1800,0,Nebraska
1804,0,Nebraska
1808,0,Nebraska
1812,0,Nebraska
1816,0,Nebraska
1820,0,Nebraska
1824,0,Nebraska
1828,0,Nebraska
1832,0,Nebraska
1836,0,Nebraska
1840,0,Nebraska
1844,0,Nebraska
1848,0,Nebraska
1852,0,Nebraska
1856,0,Nebraska
1860,0,Nebraska
1864,0,Nebraska
1868,3,Nebraska
1872,3,Nebraska
1876,3,Nebraska
1880,3,Nebraska
1884,5,Nebraska
1888,5,Nebraska
1892,8,Nebraska
1896,8,Nebraska
1900,8,Nebraska
1904,8,Nebraska
1908,8,Nebraska
1912,8,Nebraska
1916,8,Nebraska
1920,8,Nebraska
1924,8,Nebraska
1928,8,Nebraska
1932,7,Nebraska
1936,7,Nebraska
1940,7,Nebraska
1944,6,Nebraska
1948,6,Nebraska
1952,6,Nebraska
1956,6,Nebraska
1960,6,Nebraska
1964,5,Nebraska
1968,5,Nebraska
1972,5,Nebraska
1976,5,Nebraska
1980,5,Nebraska
1984,5,Nebraska
1988,5,Nebraska
1992,5,Nebraska
1996,5,Nebraska
2000,5,Nebraska
2004,5,Nebraska
2008,5,Nebraska
2012,5,Nebraska
2016,5,Nebraska
2020,5,Nebraska
1788,0,Nevada
1792,0,Nevada
1796,0,Nevada
1800,0,Nevada
1804,0,Nevada
1808,0,Nevada
1812,0,Nevada
1816,0,Nevada
1820,0,Nevada
1824,0,Nevada
1828,0,Nevada
1832,0,Nevada
1836,0,Nevada
1840,0,Nevada
1844,0,Nevada
1848,0,Nevada
1852,0,Nevada
1856,0,Nevada
1860,0,Nevada
1864,3,Nevada
1868,3,Nevada
1872,3,Nevada
1876,3,Nevada
1880,3,Nevada
1884,3,Nevada
1888,3,Nevada
1892,3,Nevada
1896,3,Nevada
1900,3,Nevada
1904,3,Nevada
1908,3,Nevada
1912,3,Nevada
1916,3,Nevada
1920,3,Nevada
1924,3,Nevada
1928,3,Nevada
1932,3,Nevada
1936,3,Nevada
1940,3,Nevada
1944,3,Nevada
1948,3,Nevada
1952,3,Nevada
1956,3,Nevada
1960,3,Nevada
1964,3,Nevada
1968,3,Nevada
1972,3,Nevada
1976,3,Nevada
1980,3,Nevada
1984,4,Nevada
1988,4,Nevada
1992,4,Nevada
1996,4,Nevada
2000,4,Nevada
2004,5,Nevada
2008,5,Nevada
2012,6,Nevada
2016,6,Nevada
2020,6,Nevada
1788,5,New Hampshire
1792,6,New Hampshire
1796,6,New Hampshire
1800,6,New Hampshire
1804,7,New Hampshire
1808,7,New Hampshire
1812,8,New Hampshire
1816,8,New Hampshire
1820,8,New Hampshire
1824,8,New Hampshire
1828,8,New Hampshire
1832,7,New Hampshire
1836,7,New Hampshire
1840,7,New Hampshire
1844,6,New Hampshire
1848,6,New Hampshire
1852,5,New Hampshire
1856,5,New Hampshire
1860,5,New Hampshire
1864,5,New Hampshire
1868,5,New Hampshire
1872,5,New Hampshire
1876,5,New Hampshire
1880,5,New Hampshire
1884,4,New Hampshire
1888,4,New Hampshire
1892,4,New Hampshire
1896,4,New Hampshire
1900,4,New Hampshire
1904,4,New Hampshire
1908,4,New Hampshire
1912,4,New Hampshire
1916,4,New Hampshire
1920,4,New Hampshire
1924,4,New Hampshire
1928,4,New Hampshire
1932,4,New Hampshire
1936,4,New Hampshire
1940,4,New Hampshire
1944,4,New Hampshire
1948,4,New Hampshire
1952,4,New Hampshire
1956,4,New Hampshire
1960,4,New Hampshire
1964,4,New Hampshire
1968,4,New Hampshire
1972,4,New Hampshire
1976,4,New Hampshire
1980,4,New Hampshire
1984,4,New Hampshire
1988,4,New Hampshire
1992,4,New Hampshire
1996,4,New Hampshire
2000,4,New Hampshire
2004,4,New Hampshire
2008,4,New Hampshire
2012,4,New Hampshire
2016,4,New Hampshire
2020,4,New Hampshire
1788,6,New Jersey
1792,7,New Jersey
1796,7,New Jersey
1800,7,New Jersey
1804,8,New Jersey
1808,8,New Jersey
1812,8,New Jersey
1816,8,New Jersey
1820,8,New Jersey
1824,8,New Jersey
1828,8,New Jersey
1832,8,New Jersey
1836,8,New Jersey
1840,8,New Jersey
1844,7,New Jersey
1848,7,New Jersey
1852,7,New Jersey
1856,7,New Jersey
1860,7,New Jersey
1864,7,New Jersey
1868,7,New Jersey
1872,9,New Jersey
1876,9,New Jersey
1880,9,New Jersey
1884,9,New Jersey
1888,9,New Jersey
1892,10,New Jersey
1896,10,New Jersey
1900,10,New Jersey
1904,12,New Jersey
1908,12,New Jersey
1912,14,New Jersey
1916,14,New Jersey
1920,14,New Jersey
1924,14,New Jersey
1928,14,New Jersey
1932,16,New Jersey
1936,16,New Jersey
1940,16,New Jersey
1944,16,New Jersey
1948,16,New Jersey
1952,16,New Jersey
1956,16,New Jersey
1960,16,New Jersey
1964,17,New Jersey
1968,17,New Jersey
1972,17,New Jersey
1976,17,New Jersey
1980,17,New Jersey
1984,16,New Jersey
1988,16,New Jersey
1992,15,New Jersey
1996,15,New Jersey
2000,15,New Jersey
2004,15,New Jersey
2008,15,New Jersey
2012,14,New Jersey
2016,14,New Jersey
2020,14,New Jersey
1788,0,New Mexico
1792,0,New Mexico
1796,0,New Mexico
1800,0,New Mexico
1804,0,New Mexico
1808,0,New Mexico
1812,0,New Mexico
1816,0,New Mexico
1820,0,New Mexico
1824,0,New Mexico
1828,0,New Mexico
1832,0,New Mexico
1836,0,New Mexico
1840,0,New Mexico
1844,0,New Mexico
1848,0,New Mexico
1852,0,New Mexico
1856,0,New Mexico
1860,0,New Mexico
1864,0,New Mexico
1868,0,New Mexico
1872,0,New Mexico
1876,0,New Mexico
1880,0,New Mexico
1884,0,New Mexico
1888,0,New Mexico
1892,0,New Mexico
1896,0,New Mexico
1900,0,New Mexico
1904,0,New Mexico
1908,0,New Mexico
1912,3,New Mexico
1916,3,New Mexico
1920,3,New Mexico
1924,3,New Mexico
1928,3,New Mexico
1932,3,New Mexico
1936,3,New Mexico
1940,3,New Mexico
1944,4,New Mexico
1948,4,New Mexico
1952,4,New Mexico
1956,4,New Mexico
1960,4,New Mexico
1964,4,New Mexico
1968,4,New Mexico
1972,4,New Mexico
1976,4,New Mexico
1980,4,New Mexico
1984,5,New Mexico
1988,5,New Mexico
1992,5,New Mexico
1996,5,New Mexico
2000,5,New Mexico
2004,5,New Mexico
2008,5,New Mexico
2012,5,New Mexico
2016,5,New Mexico
2020,5,New Mexico
1788,8,New York
1792,12,New York
1796,12,New York
1800,12,New York
1804,19,New York
1808,19,New York
1812,29,New York
1816,29,New York
1820,29,New York
1824,36,New York
1828,36,New York
1832,42,New York
1836,42,New York
1840,42,New York
1844,36,New York
1848,36,New York
1852,35,New York
1856,35,New York
1860,35,New York
1864,33,New York
1868,33,New York
1872,35,New York
1876,35,New York
1880,35,New York
1884,36,New York
1888,36,New York
1892,36,New York
1896,36,New York
1900,36,New York
1904,39,New York
1908,39,New York
1912,45,New York
1916,45,New York
1920,45,New York
1924,45,New York
1928,45,New York
1932,47,New York
1936,47,New York
1940,47,New York
1944,47,New York
1948,47,New York
1952,45,New York
1956,45,New York
1960,45,New York
1964,43,New York
1968,43,New York
1972,41,New York
1976,41,New York
1980,41,New York
1984,36,New York
1988,36,New York
1992,33,New York
1996,33,New York
2000,33,New York
2004,31,New York
2008,31,New York
2012,29,New York
2016,29,New York
2020,29,New York
1788,0,North Carolina
1792,12,North Carolina
1796,12,North Carolina
1800,12,North Carolina
1804,14,North Carolina
1808,14,North Carolina
1812,15,North Carolina
1816,15,North Carolina
1820,15,North Carolina
1824,15,North Carolina
1828,15,North Carolina
1832,15,North Carolina
1836,15,North Carolina
1840,15,North Carolina
1844,11,North Carolina
1848,11,North Carolina
1852,10,North Carolina
1856,10,North Carolina
1860,10,North Carolina
1864,0,North Carolina
1868,9,North Carolina
1872,10,North Carolina
1876,10,North Carolina
1880,10,North Carolina
1884,11,North Carolina
1888,11,North Carolina
1892,11,North Carolina
1896,11,North Carolina
1900,11,North Carolina
1904,12,North Carolina
1908,12,North Carolina
1912,12,North Carolina
1916,12,North Carolina
1920,12,North Carolina
1924,12,North Carolina
1928,12,North Carolina
1932,13,North Carolina
1936,13,North Carolina
1940,13,North Carolina
1944,14,North Carolina
1948,14,North Carolina
1952,14,North Carolina
1956,14,North Carolina
1960,14,North Carolina
1964,13,North Carolina
1968,13,North Carolina
1972,13,North Carolina
1976,13,North Carolina
1980,13,North Carolina
1984,13,North Carolina
1988,13,North Carolina
1992,14,North Carolina
1996,14,North Carolina
2000,14,North Carolina
2004,15,North Carolina
2008,15,North Carolina
2012,15,North Carolina
2016,15,North Carolina
2020,15,North Carolina
1788,0,North Dakota
1792,0,North Dakota
1796,0,North Dakota
1800,0,North Dakota
1804,0,North Dakota
1808,0,North Dakota
1812,0,North Dakota
1816,0,North Dakota
1820,0,North Dakota
1824,0,North Dakota
1828,0,North Dakota
1832,0,North Dakota
1836,0,North Dakota
1840,0,North Dakota
1844,0,North Dakota
1848,0,North Dakota
1852,0,North Dakota
1856,0,North Dakota
1860,0,North Dakota
1864,0,North Dakota
1868,0,North Dakota
1872,0,North Dakota
1876,0,North Dakota
1880,0,North Dakota
1884,0,North Dakota
1888,0,North Dakota
1892,3,North Dakota
1896,3,North Dakota
1900,3,North Dakota
1904,4,North Dakota
1908,4,North Dakota
1912,5,North Dakota
1916,5,North Dakota
1920,5,North Dakota
1924,5,North Dakota
1928,5,North Dakota
1932,4,North Dakota
1936,4,North Dakota
1940,4,North Dakota
1944,4,North Dakota
1948,4,North Dakota
1952,4,North Dakota
1956,4,North Dakota
1960,4,North Dakota
1964,4,North Dakota
1968,4,North Dakota
1972,3,North Dakota
1976,3,North Dakota
1980,3,North Dakota
1984,3,North Dakota
1988,3,North Dakota
1992,3,North Dakota
1996,3,North Dakota
2000,3,North Dakota
2004,3,North Dakota
2008,3,North Dakota
2012,3,North Dakota
2016,3,North Dakota
2020,3,North Dakota
1788,0,Ohio
1792,0,Ohio
1796,0,Ohio
1800,0,Ohio
1804,3,Ohio
1808,3,Ohio
1812,8,Ohio
1816,8,Ohio
1820,8,Ohio
1824,16,Ohio
1828,16,Ohio
1832,21,Ohio
1836,21,Ohio
1840,21,Ohio
1844,23,Ohio
1848,23,Ohio
1852,23,Ohio
1856,23,Ohio
1860,23,Ohio
1864,21,Ohio
1868,21,Ohio
1872,22,Ohio
1876,22,Ohio
1880,22,Ohio
1884,23,Ohio
1888,23,Ohio
1892,23,Ohio
1896,23,Ohio
1900,23,Ohio
1904,23,Ohio
1908,23,Ohio
1912,24,Ohio
1916,24,Ohio
1920,24,Ohio
1924,24,Ohio
1928,24,Ohio
1932,26,Ohio
1936,26,Ohio
1940,26,Ohio
1944,25,Ohio
1948,25,Ohio
1952,25,Ohio
1956,25,Ohio
1960,25,Ohio
1964,26,Ohio
1968,26,Ohio
1972,25,Ohio
1976,25,Ohio
1980,25,Ohio
1984,23,Ohio
1988,23,Ohio
1992,21,Ohio
1996,21,Ohio
2000,21,Ohio
2004,20,Ohio
2008,20,Ohio
2012,18,Ohio
2016,18,Ohio
2020,18,Ohio
1788,0,Oklahoma
1792,0,Oklahoma
1796,0,Oklahoma
1800,0,Oklahoma
1804,0,Oklahoma
1808,0,Oklahoma
1812,0,Oklahoma
1816,0,Oklahoma
1820,0,Oklahoma
1824,0,Oklahoma
1828,0,Oklahoma
1832,0,Oklahoma
1836,0,Oklahoma
1840,0,Oklahoma
1844,0,Oklahoma
1848,0,Oklahoma
1852,0,Oklahoma
1856,0,Oklahoma
1860,0,Oklahoma
1864,0,Oklahoma
1868,0,Oklahoma
1872,0,Oklahoma
1876,0,Oklahoma
1880,0,Oklahoma
1884,0,Oklahoma
1888,0,Oklahoma
1892,0,Oklahoma
1896,0,Oklahoma
1900,0,Oklahoma
1904,0,Oklahoma
1908,7,Oklahoma
1912,10,Oklahoma
1916,10,Oklahoma
1920,10,Oklahoma
1924,10,Oklahoma
1928,10,Oklahoma
1932,11,Oklahoma
1936,11,Oklahoma
1940,11,Oklahoma
1944,10,Oklahoma
1948,10,Oklahoma
1952,8,Oklahoma
1956,8,Oklahoma
1960,8,Oklahoma
1964,8,Oklahoma
1968,8,Oklahoma
1972,8,Oklahoma
1976,8,Oklahoma
1980,8,Oklahoma
1984,8,Oklahoma
1988,8,Oklahoma
1992,8,Oklahoma
1996,8,Oklahoma
2000,8,Oklahoma
2004,7,Oklahoma
2008,7,Oklahoma
2012,7,Oklahoma
2016,7,Oklahoma
2020,7,Oklahoma
1788,0,Oregon
1792,0,Oregon
1796,0,Oregon
1800,0,Oregon
1804,0,Oregon
1808,0,Oregon
1812,0,Oregon
1816,0,Oregon
1820,0,Oregon
1824,0,Oregon
1828,0,Oregon
1832,0,Oregon
1836,0,Oregon
1840,0,Oregon
1844,0,Oregon
1848,0,Oregon
1852,0,Oregon
1856,0,Oregon
1860,3,Oregon
1864,3,Oregon
1868,3,Oregon
1872,3,Oregon
1876,3,Oregon
1880,3,Oregon
1884,3,Oregon
1888,3,Oregon
1892,4,Oregon
1896,4,Oregon
1900,4,Oregon
1904,4,Oregon
1908,4,Oregon
1912,5,Oregon
1916,5,Oregon
1920,5,Oregon
1924,5,Oregon
1928,5,Oregon
1932,5,Oregon
1936,5,Oregon
1940,5,Oregon
1944,6,Oregon
1948,6,Oregon
1952,6,Oregon
1956,6,Oregon
1960,6,Oregon
1964,6,Oregon
1968,6,Oregon
1972,6,Oregon
1976,6,Oregon
1980,6,Oregon
1984,7,Oregon
1988,7,Oregon
1992,7,Oregon
1996,7,Oregon
2000,7,Oregon
2004,7,Oregon
2008,7,Oregon
2012,7,Oregon
2016,7,Oregon
2020,7,Oregon
1788,10,Pennsylvania
1792,15,Pennsylvania
1796,15,Pennsylvania
1800,15,Pennsylvania
1804,20,Pennsylvania
1808,20,Pennsylvania
1812,25,Pennsylvania
1816,25,Pennsylvania
1820,25,Pennsylvania
1824,28,Pennsylvania
1828,28,Pennsylvania
1832,30,Pennsylvania
1836,30,Pennsylvania
1840,30,Pennsylvania
1844,26,Pennsylvania
1848,26,Pennsylvania
1852,27,Pennsylvania
1856,27,Pennsylvania
1860,27,Pennsylvania
1864,26,Pennsylvania
1868,26,Pennsylvania
1872,29,Pennsylvania
1876,29,Pennsylvania
1880,29,Pennsylvania
1884,30,Pennsylvania
1888,30,Pennsylvania
1892,32,Pennsylvania
1896,32,Pennsylvania
1900,32,Pennsylvania
1904,34,Pennsylvania
1908,34,Pennsylvania
1912,38,Pennsylvania
1916,38,Pennsylvania
1920,38,Pennsylvania
1924,38,Pennsylvania
1928,38,Pennsylvania
1932,36,Pennsylvania
1936,36,Pennsylvania
1940,36,Pennsylvania
1944,35,Pennsylvania
1948,35,Pennsylvania
1952,32,Pennsylvania
1956,32,Pennsylvania
1960,32,Pennsylvania
1964,29,Pennsylvania
1968,29,Pennsylvania
1972,27,Pennsylvania
1976,27,Pennsylvania
1980,27,Pennsylvania
1984,25,Pennsylvania
1988,25,Pennsylvania
1992,23,Pennsylvania
1996,23,Pennsylvania
2000,23,Pennsylvania
2004,21,Pennsylvania
2008,21,Pennsylvania
2012,20,Pennsylvania
2016,20,Pennsylvania
2020,20,Pennsylvania
1788,0,Rhode Island
1792,4,Rhode Island
1796,4,Rhode Island
1800,4,Rhode Island
1804,4,Rhode Island
1808,4,Rhode Island
1812,4,Rhode Island
1816,4,Rhode Island
1820,4,Rhode Island
1824,4,Rhode Island
1828,4,Rhode Island
1832,4,Rhode Island
1836,4,Rhode Island
1840,4,Rhode Island
1844,4,Rhode Island
1848,4,Rhode Island
1852,4,Rhode Island
1856,4,Rhode Island
1860,4,Rhode Island
1864,4,Rhode Island
1868,4,Rhode Island
1872,4,Rhode Island
1876,4,Rhode Island
1880,4,Rhode Island
1884,4,Rhode Island
1888,4,Rhode Island
1892,4,Rhode Island
1896,4,Rhode Island
1900,4,Rhode Island
1904,4,Rhode Island
1908,4,Rhode Island
1912,5,Rhode Island
1916,5,Rhode Island
1920,5,Rhode Island
1924,5,Rhode Island
1928,5,Rhode Island
1932,4,Rhode Island
1936,4,Rhode Island
1940,4,Rhode Island
1944,4,Rhode Island
1948,4,Rhode Island
1952,4,Rhode Island
1956,4,Rhode Island
1960,4,Rhode Island
1964,4,Rhode Island
1968,4,Rhode Island
1972,4,Rhode Island
1976,4,Rhode Island
1980,4,Rhode Island
1984,4,Rhode Island
1988,4,Rhode Island
1992,4,Rhode Island
1996,4,Rhode Island
2000,4,Rhode Island
2004,4,Rhode Island
2008,4,Rhode Island
2012,4,Rhode Island
2016,4,Rhode Island
2020,4,Rhode Island
1788,7,South Carolina
1792,8,South Carolina
1796,8,South Carolina
1800,8,South Carolina
1804,10,South Carolina
1808,10,South Carolina
1812,11,South Carolina
1816,11,South Carolina
1820,11,South Carolina
1824,11,South Carolina
1828,11,South Carolina
1832,11,South Carolina
1836,11,South Carolina
1840,11,South Carolina
1844,9,South Carolina
1848,9,South Carolina
1852,8,South Carolina
1856,8,South Carolina
1860,8,South Carolina
1864,0,South Carolina
1868,6,South Carolina
1872,7,South Carolina
1876,7,South Carolina
1880,7,South Carolina
1884,9,South Carolina
1888,9,South Carolina
1892,9,South Carolina
1896,9,South Carolina
1900,9,South Carolina
1904,9,South Carolina
1908,9,South Carolina
1912,9,South Carolina
1916,9,South Carolina
1920,9,South Carolina
1924,9,South Carolina
1928,9,South Carolina
1932,8,South Carolina
1936,8,South Carolina
1940,8,South Carolina
1944,8,South Carolina
1948,8,South Carolina
1952,8,South Carolina
1956,8,South Carolina
1960,8,South Carolina
1964,8,South Carolina
1968,8,South Carolina
1972,8,South Carolina
1976,8,South Carolina
1980,8,South Carolina
1984,8,South Carolina
1988,8,South Carolina
1992,8,South Carolina
1996,8,South Carolina
2000,8,South Carolina
2004,8,South Carolina
2008,8,South Carolina
2012,9,South Carolina
2016,9,South Carolina
2020,9,South Carolina
1788,0,South Dakota
1792,0,South Dakota
1796,0,South Dakota
1800,0,South Dakota
1804,0,South Dakota
1808,0,South Dakota
1812,0,South Dakota
1816,0,South Dakota
1820,0,South Dakota
1824,0,South Dakota
1828,0,South Dakota
1832,0,South Dakota
1836,0,South Dakota
1840,0,South Dakota
1844,0,South Dakota
1848,0,South Dakota
1852,0,South Dakota
1856,0,South Dakota
1860,0,South Dakota
1864,0,South Dakota
1868,0,South Dakota
1872,0,South Dakota
1876,0,South Dakota
1880,0,South Dakota
1884,0,South Dakota
1888,0,South Dakota
1892,4,South Dakota
1896,4,South Dakota
1900,4,South Dakota
1904,4,South Dakota
1908,4,South Dakota
1912,5,South Dakota
1916,5,South Dakota
1920,5,South Dakota
1924,5,South Dakota
1928,5,South Dakota
1932,4,South Dakota
1936,4,South Dakota
1940,4,South Dakota
1944,4,South Dakota
1948,4,South Dakota
1952,4,South Dakota
1956,4,South Dakota
1960,4,South Dakota
1964,4,South Dakota
1968,4,South Dakota
1972,4,South Dakota
1976,4,South Dakota
1980,4,South Dakota
1984,3,South Dakota
1988,3,South Dakota
1992,3,South Dakota
1996,3,South Dakota
2000,3,South Dakota
2004,3,South Dakota
2008,3,South Dakota
2012,3,South Dakota
2016,3,South Dakota
2020,3,South Dakota
1788,0,Tennessee
1792,0,Tennessee
1796,3,Tennessee
1800,3,Tennessee
1804,5,Tennessee
1808,5,Tennessee
1812,8,Tennessee
1816,8,Tennessee
1820,8,Tennessee
1824,11,Tennessee
1828,11,Tennessee
1832,15,Tennessee
1836,15,Tennessee
1840,15,Tennessee
1844,13,Tennessee
1848,13,Tennessee
1852,12,Tennessee
1856,12,Tennessee
1860,12,Tennessee
1864,0,Tennessee
1868,10,Tennessee
1872,12,Tennessee
1876,12,Tennessee
1880,12,Tennessee
1884,12,Tennessee
1888,12,Tennessee
1892,12,Tennessee
1896,12,Tennessee
1900,12,Tennessee
1904,12,Tennessee
1908,12,Tennessee
1912,12,Tennessee
1916,12,Tennessee
1920,12,Tennessee
1924,12,Tennessee
1928,12,Tennessee
1932,11,Tennessee
1936,11,Tennessee
1940,11,Tennessee
1944,12,Tennessee
1948,12,Tennessee
1952,11,Tennessee
1956,11,Tennessee
1960,11,Tennessee
1964,11,Tennessee
1968,11,Tennessee
1972,10,Tennessee
1976,10,Tennessee
1980,10,Tennessee
1984,11,Tennessee
1988,11,Tennessee
1992,11,Tennessee
1996,11,Tennessee
2000,11,Tennessee
2004,11,Tennessee
2008,11,Tennessee
2012,11,Tennessee
2016,11,Tennessee
2020,11,Tennessee
1788,0,Texas
1792,0,Texas
1796,0,Texas
1800,0,Texas
1804,0,Texas
1808,0,Texas
1812,0,Texas
1816,0,Texas
1820,0,Texas
1824,0,Texas
1828,0,Texas
1832,0,Texas
1836,0,Texas
1840,0,Texas
1844,0,Texas
1848,4,Texas
1852,4,Texas
1856,4,Texas
1860,4,Texas
1864,0,Texas
1868,0,Texas
1872,8,Texas
1876,8,Texas
1880,8,Texas
1884,13,Texas
1888,13,Texas
1892,15,Texas
1896,15,Texas
1900,15,Texas
1904,18,Texas
1908,18,Texas
1912,20,Texas
1916,20,Texas
1920,20,Texas
1924,20,Texas
1928,20,Texas
1932,23,Texas
1936,23,Texas
1940,23,Texas
1944,23,Texas
1948,23,Texas
1952,24,Texas
1956,24,Texas
1960,24,Texas
1964,25,Texas
1968,25,Texas
1972,26,Texas
1976,26,Texas
1980,26,Texas
1984,29,Texas
1988,29,Texas
1992,32,Texas
1996,32,Texas
2000,32,Texas
2004,34,Texas
2008,34,Texas
2012,38,Texas
2016,38,Texas
2020,38,Texas
1788,0,Utah
1792,0,Utah
1796,0,Utah
1800,0,Utah
1804,0,Utah
1808,0,Utah
1812,0,Utah
1816,0,Utah
1820,0,Utah
1824,0,Utah
1828,0,Utah
1832,0,Utah
1836,0,Utah
1840,0,Utah
1844,0,Utah
1848,0,Utah
1852,0,Utah
1856,0,Utah
1860,0,Utah
1864,0,Utah
1868,0,Utah
1872,0,Utah
1876,0,Utah
1880,0,Utah
1884,0,Utah
1888,0,Utah
1892,0,Utah
1896,3,Utah
1900,3,Utah
1904,3,Utah
1908,3,Utah
1912,4,Utah
1916,4,Utah
1920,4,Utah
1924,4,Utah
1928,4,Utah
1932,4,Utah
1936,4,Utah
1940,4,Utah
1944,4,Utah
1948,4,Utah
1952,4,Utah
1956,4,Utah
1960,4,Utah
1964,4,Utah
1968,4,Utah
1972,4,Utah
1976,4,Utah
1980,4,Utah
1984,5,Utah
1988,5,Utah
1992,5,Utah
1996,5,Utah
2000,5,Utah
2004,5,Utah
2008,5,Utah
2012,6,Utah
2016,6,Utah
2020,6,Utah
1788,0,Vermont
1792,4,Vermont
1796,4,Vermont
1800,4,Vermont
1804,6,Vermont
1808,6,Vermont
1812,8,Vermont
1816,8,Vermont
1820,8,Vermont
1824,7,Vermont
1828,7,Vermont
1832,7,Vermont
1836,7,Vermont
1840,7,Vermont
1844,6,Vermont
1848,6,Vermont
1852,5,Vermont
1856,5,Vermont
1860,5,Vermont
1864,5,Vermont
1868,5,Vermont
1872,5,Vermont
1876,5,Vermont
1880,5,Vermont
1884,4,Vermont
1888,4,Vermont
1892,4,Vermont
1896,4,Vermont
1900,4,Vermont
1904,4,Vermont
1908,4,Vermont
1912,4,Vermont
1916,4,Vermont
1920,4,Vermont
1924,4,Vermont
1928,4,Vermont
1932,3,Vermont
1936,3,Vermont
1940,3,Vermont
1944,3,Vermont
1948,3,Vermont
1952,3,Vermont
1956,3,Vermont
1960,3,Vermont
1964,3,Vermont
